,Title,PDF URL,Author,DOI,Published Date,Summary,Journal Ref,Primary Category,Category,Entry ID
55,"Implementation of nlization framework for verbs, pronouns and determiners with eugene",http://arxiv.org/pdf/1309.2471v1,"[arxiv.Result.Author('Harinder Singh'), arxiv.Result.Author('Parteek Kumar')]",,2013-09-10 12:03:32+00:00,"UNL system is designed and implemented by a nonprofit organization, UNDL
Foundation at Geneva in 1999. UNL applications are application softwares that
allow end users to accomplish natural language tasks, such as translating,
summarizing, retrieving or extracting information, etc. Two major web based
application softwares are Interactive ANalyzer (IAN), which is a natural
language analysis system. It represents natural language sentences as semantic
networks in the UNL format. Other application software is dEep-to-sUrface
GENErator (EUGENE), which is an open-source interactive NLizer. It generates
natural language sentences out of semantic networks represented in the UNL
format. In this paper, NLization framework with EUGENE is focused, while using
UNL system for accomplishing the task of machine translation. In whole
NLization process, EUGENE takes a UNL input and delivers an output in natural
language without any human intervention. It is language-independent and has to
be parametrized to the natural language input through a dictionary and a
grammar, provided as separate interpretable files. In this paper, it is
explained that how UNL input is syntactically and semantically analyzed with
the UNL-NL T-Grammar for NLization of UNL sentences involving verbs, pronouns
and determiners for Punjabi natural language.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1309.2471v1
56,SKOPE: A connectionist/symbolic architecture of spoken Korean processing,http://arxiv.org/pdf/cmp-lg/9504008v2,"[arxiv.Result.Author('Geunbae Lee'), arxiv.Result.Author('Jong-Hyeok Lee')]",,1995-04-07 14:39:09+00:00,"Spoken language processing requires speech and natural language integration.
Moreover, spoken Korean calls for unique processing methodology due to its
linguistic characteristics. This paper presents SKOPE, a connectionist/symbolic
spoken Korean processing engine, which emphasizes that: 1) connectionist and
symbolic techniques must be selectively applied according to their relative
strength and weakness, and 2) the linguistic characteristics of Korean must be
fully considered for phoneme recognition, speech and language integration, and
morphological/syntactic processing. The design and implementation of SKOPE
demonstrates how connectionist/symbolic hybrid architectures can be constructed
for spoken agglutinative language processing. Also SKOPE presents many novel
ideas for speech and language processing. The phoneme recognition,
morphological analysis, and syntactic analysis experiments show that SKOPE is a
viable approach for the spoken Korean processing.",,cmp-lg,"['cmp-lg', 'cs.CL']",http://arxiv.org/abs/cmp-lg/9504008v2
57,Fuzzy Temporal Protoforms for the Quantitative Description of Processes in Natural Language,http://arxiv.org/pdf/2305.09506v1,"[arxiv.Result.Author('Yago Fontenla-Seco'), arxiv.Result.Author('Alberto Bugarín-Diz'), arxiv.Result.Author('Manuel Lama')]",10.1109/FUZZ45933.2021.9494444,2023-05-16 14:59:38+00:00,"In this paper, we propose a series of fuzzy temporal protoforms in the
framework of the automatic generation of quantitative and qualitative natural
language descriptions of processes. The model includes temporal and causal
information from processes and attributes, quantifies attributes in time during
the process life-span and recalls causal relations and temporal distances
between events, among other features. Through integrating process mining
techniques and fuzzy sets within the usual Data-to-Text architecture, our
framework is able to extract relevant quantitative temporal as well as
structural information from a process and describe it in natural language
involving uncertain terms. A real use-case in the cardiology domain is
presented, showing the potential of our model for providing natural language
explanations addressed to domain experts.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2305.09506v1
58,Gap Analysis of Natural Language Processing Systems with respect to Linguistic Modality,http://arxiv.org/pdf/1504.04716v1,[arxiv.Result.Author('Vishal Shukla')],,2015-04-18 13:28:59+00:00,"Modality is one of the important components of grammar in linguistics. It
lets speaker to express attitude towards, or give assessment or potentiality of
state of affairs. It implies different senses and thus has different
perceptions as per the context. This paper presents an account showing the gap
in the functionality of the current state of art Natural Language Processing
(NLP) systems. The contextual nature of linguistic modality is studied. In this
paper, the works and logical approaches employed by Natural Language Processing
systems dealing with modality are reviewed. It sees human cognition and
intelligence as multi-layered approach that can be implemented by intelligent
systems for learning. Lastly, current flow of research going on within this
field is talked providing futurology.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/1504.04716v1
59,Spontaneous Emerging Preference in Two-tower Language Model,http://arxiv.org/pdf/2210.07041v1,"[arxiv.Result.Author('Zhengqi He'), arxiv.Result.Author('Taro Toyoizumi')]",,2022-10-13 13:55:19+00:00,"The ever-growing size of the foundation language model has brought
significant performance gains in various types of downstream tasks. With the
existence of side-effects brought about by the large size of the foundation
language model such as deployment cost, availability issues, and environmental
cost, there is some interest in exploring other possible directions, such as a
divide-and-conquer scheme. In this paper, we are asking a basic question: are
language processes naturally dividable? We study this problem with a simple
two-tower language model setting, where two language models with identical
configurations are trained side-by-side cooperatively. With this setting, we
discover the spontaneous emerging preference phenomenon, where some of the
tokens are consistently better predicted by one tower while others by another
tower. This phenomenon is qualitatively stable, regardless of model
configuration and type, suggesting this as an intrinsic property of natural
language. This study suggests that interesting properties of natural language
are still waiting to be discovered, which may aid the future development of
natural language processing techniques.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/2210.07041v1
60,Large Language Models on the Chessboard: A Study on ChatGPT's Formal Language Comprehension and Complex Reasoning Skills,http://arxiv.org/pdf/2308.15118v1,"[arxiv.Result.Author('Mu-Tien Kuo'), arxiv.Result.Author('Chih-Chung Hsueh'), arxiv.Result.Author('Richard Tzong-Han Tsai')]",,2023-08-29 08:36:30+00:00,"While large language models have made strides in natural language processing,
their proficiency in complex reasoning tasks requiring formal language
comprehension, such as chess, remains less investigated. This paper probes the
performance of ChatGPT, a sophisticated language model by OpenAI in tackling
such complex reasoning tasks, using chess as a case study. Through robust
metrics examining both the legality and quality of moves, we assess ChatGPT's
understanding of the chessboard, adherence to chess rules, and strategic
decision-making abilities. Our evaluation identifies limitations within
ChatGPT's attention mechanism that affect its formal language comprehension and
uncovers the model's underdeveloped self-regulation abilities. Our study also
reveals ChatGPT's propensity for a coherent strategy in its gameplay and a
noticeable uptick in decision-making assertiveness when the model is presented
with a greater volume of natural language or possesses a more lucid
understanding of the state of the chessboard. These findings contribute to the
growing exploration of language models' abilities beyond natural language
processing, providing valuable information for future research towards models
demonstrating human-like cognitive abilities.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2308.15118v1
61,Persian Natural Language Inference: A Meta-learning approach,http://arxiv.org/pdf/2205.08755v1,"[arxiv.Result.Author('Heydar Soudani'), arxiv.Result.Author('Mohammad Hassan Mojab'), arxiv.Result.Author('Hamid Beigy')]",,2022-05-18 06:51:58+00:00,"Incorporating information from other languages can improve the results of
tasks in low-resource languages. A powerful method of building functional
natural language processing systems for low-resource languages is to combine
multilingual pre-trained representations with cross-lingual transfer learning.
In general, however, shared representations are learned separately, either
across tasks or across languages. This paper proposes a meta-learning approach
for inferring natural language in Persian. Alternately, meta-learning uses
different task information (such as QA in Persian) or other language
information (such as natural language inference in English). Also, we
investigate the role of task augmentation strategy for forming additional
high-quality tasks. We evaluate the proposed method using four languages and an
auxiliary task. Compared to the baseline approach, the proposed model
consistently outperforms it, improving accuracy by roughly six percent. We also
examine the effect of finding appropriate initial parameters using zero-shot
evaluation and CCA similarity.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2205.08755v1
62,Linking Emergent and Natural Languages via Corpus Transfer,http://arxiv.org/pdf/2203.13344v1,"[arxiv.Result.Author('Shunyu Yao'), arxiv.Result.Author('Mo Yu'), arxiv.Result.Author('Yang Zhang'), arxiv.Result.Author('Karthik R Narasimhan'), arxiv.Result.Author('Joshua B. Tenenbaum'), arxiv.Result.Author('Chuang Gan')]",,2022-03-24 21:24:54+00:00,"The study of language emergence aims to understand how human languages are
shaped by perceptual grounding and communicative intent. Computational
approaches to emergent communication (EC) predominantly consider referential
games in limited domains and analyze the learned protocol within the game
framework. As a result, it remains unclear how the emergent languages from
these settings connect to natural languages or provide benefits in real-world
language processing tasks, where statistical models trained on large text
corpora dominate. In this work, we propose a novel way to establish such a link
by corpus transfer, i.e. pretraining on a corpus of emergent language for
downstream natural language tasks, which is in contrast to prior work that
directly transfers speaker and listener parameters. Our approach showcases
non-trivial transfer benefits for two different tasks -- language modeling and
image captioning. For example, in a low-resource setup (modeling 2 million
natural language tokens), pre-training on an emergent language corpus with just
2 million tokens reduces model perplexity by $24.6\%$ on average across ten
natural languages. We also introduce a novel metric to predict the
transferability of an emergent language by translating emergent messages to
natural language captions grounded on the same images. We find that our
translation-based metric highly correlates with the downstream performance on
modeling natural languages (for instance $\rho=0.83$ on Hebrew), while
topographic similarity, a popular metric in previous work, shows surprisingly
low correlation ($\rho=0.003$), hinting that simple properties like attribute
disentanglement from synthetic domains might not capture the full complexities
of natural language. Our findings also indicate potential benefits of moving
language emergence forward with natural language resources and models.",,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2203.13344v1
63,Language understanding as a step towards human level intelligence - automatizing the construction of the initial dictionary from example sentences,http://arxiv.org/pdf/1108.3848v1,"[arxiv.Result.Author('Chitta Baral'), arxiv.Result.Author('Juraj Dzifcak')]",,2011-08-18 20:12:50+00:00,"For a system to understand natural language, it needs to be able to take
natural language text and answer questions given in natural language with
respect to that text; it also needs to be able to follow instructions given in
natural language. To achieve this, a system must be able to process natural
language and be able to capture the knowledge within that text. Thus it needs
to be able to translate natural language text into a formal language. We
discuss our approach to do this, where the translation is achieved by composing
the meaning of words in a sentence. Our initial approach uses an inverse lambda
method that we developed (and other methods) to learn meaning of words from
meaning of sentences and an initial lexicon. We then present an improved method
where the initial lexicon is also learned by analyzing the training sentence
and meaning pairs. We evaluate our methods and compare them with other existing
methods on a corpora of database querying and robot command and control.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1108.3848v1
64,Architecture of an Ontology-Based Domain-Specific Natural Language Question Answering System,http://arxiv.org/pdf/1311.3175v1,"[arxiv.Result.Author('Athira P. M.'), arxiv.Result.Author('Sreeja M.'), arxiv.Result.Author('P. C. Reghu Raj')]",,2013-11-13 15:36:12+00:00,"Question answering (QA) system aims at retrieving precise information from a
large collection of documents against a query. This paper describes the
architecture of a Natural Language Question Answering (NLQA) system for a
specific domain based on the ontological information, a step towards semantic
web question answering. The proposed architecture defines four basic modules
suitable for enhancing current QA capabilities with the ability of processing
complex questions. The first module was the question processing, which analyses
and classifies the question and also reformulates the user query. The second
module allows the process of retrieving the relevant documents. The next module
processes the retrieved documents, and the last module performs the extraction
and generation of a response. Natural language processing techniques are used
for processing the question and documents and also for answer extraction.
Ontology and domain knowledge are used for reformulating queries and
identifying the relations. The aim of the system is to generate short and
specific answer to the question that is asked in the natural language in a
specific domain. We have achieved 94 % accuracy of natural language question
answering in our implementation.","International Journal of Web & Semantic Technology (IJWesT) Vol.4,
  No.4, October 2013",cs.CL,"['cs.CL', 'cs.IR']",http://arxiv.org/abs/1311.3175v1
65,Defining and Evaluating Fair Natural Language Generation,http://arxiv.org/pdf/2008.01548v1,"[arxiv.Result.Author('Catherine Yeo'), arxiv.Result.Author('Alyssa Chen')]",,2020-07-28 04:11:10+00:00,"Our work focuses on the biases that emerge in the natural language generation
(NLG) task of sentence completion. In this paper, we introduce a framework of
fairness for NLG followed by an evaluation of gender biases in two
state-of-the-art language models. Our analysis provides a theoretical
formulation for biases in NLG and empirical evidence that existing language
generation models embed gender bias.",,cs.CL,"['cs.CL', 'cs.LG']",http://arxiv.org/abs/2008.01548v1
66,Large Language Models are not Models of Natural Language: they are Corpus Models,http://arxiv.org/pdf/2112.07055v2,[arxiv.Result.Author('Csaba Veres')],,2021-12-13 22:39:46+00:00,"Natural Language Processing (NLP) has become one of the leading application
areas in the current Artificial Intelligence boom. Transfer learning has
enabled large deep learning neural networks trained on the language modeling
task to vastly improve performance in almost all downstream language tasks.
Interestingly, when the language models are trained with data that includes
software code, they demonstrate remarkable abilities in generating functioning
computer code from natural language specifications. We argue that this creates
a conundrum for the claim that eliminative neural models are a radical
restructuring in our understanding of cognition in that they eliminate the need
for symbolic abstractions like generative phrase structure grammars. Because
the syntax of programming languages is by design determined by phrase structure
grammars, neural models that produce syntactic code are apparently
uninformative about the theoretical foundations of programming languages. The
demonstration that neural models perform well on tasks that involve clearly
symbolic systems, proves that they cannot be used as an argument that language
and other cognitive systems are not symbolic. Finally, we argue as a corollary
that the term language model is misleading and propose the adoption of the
working term corpus model instead, which better reflects the genesis and
contents of the model.",,cs.CL,"['cs.CL', 'cs.LG']",http://arxiv.org/abs/2112.07055v2
67,Stopwords in Technical Language Processing,http://arxiv.org/pdf/2006.02633v1,"[arxiv.Result.Author('Serhad Sarica'), arxiv.Result.Author('Jianxi Luo')]",10.1371/journal.pone.0254937,2020-06-04 03:52:59+00:00,"There are increasingly applications of natural language processing techniques
for information retrieval, indexing and topic modelling in the engineering
contexts. A standard component of such tasks is the removal of stopwords, which
are uninformative components of the data. While researchers use readily
available stopword lists which are derived for general English language, the
technical jargon of engineering fields contains their own highly frequent and
uninformative words and there exists no standard stopword list for technical
language processing applications. Here we address this gap by rigorously
identifying generic, insignificant, uninformative stopwords in engineering
texts beyond the stopwords in general texts, based on the synthesis of
alternative data-driven approaches, and curating a stopword list ready for
technical language processing applications.",,cs.IR,"['cs.IR', 'cs.CL']",http://arxiv.org/abs/2006.02633v1
68,Teaching natural language to computers,http://arxiv.org/pdf/1604.08781v2,"[arxiv.Result.Author('Joseph Corneli'), arxiv.Result.Author('Miriam Corneli')]",,2016-04-29 11:36:25+00:00,"""Natural Language,"" whether spoken and attended to by humans, or processed
and generated by computers, requires networked structures that reflect creative
processes in semantic, syntactic, phonetic, linguistic, social, emotional, and
cultural modules. Being able to produce novel and useful behavior following
repeated practice gets to the root of both artificial intelligence and human
language. This paper investigates the modalities involved in language-like
applications that computers -- and programmers -- engage with, and aims to fine
tune the questions we ask to better account for context, self-awareness, and
embodiment.",,cs.CL,"['cs.CL', 'cs.AI', 'H.5.2; D.1.2; J.5']",http://arxiv.org/abs/1604.08781v2
69,A State of the Art of Word Sense Induction: A Way Towards Word Sense Disambiguation for Under-Resourced Languages,http://arxiv.org/pdf/1310.1425v1,[arxiv.Result.Author('Mohammad Nasiruddin')],,2013-10-05 00:33:46+00:00,"Word Sense Disambiguation (WSD), the process of automatically identifying the
meaning of a polysemous word in a sentence, is a fundamental task in Natural
Language Processing (NLP). Progress in this approach to WSD opens up many
promising developments in the field of NLP and its applications. Indeed,
improvement over current performance levels could allow us to take a first step
towards natural language understanding. Due to the lack of lexical resources it
is sometimes difficult to perform WSD for under-resourced languages. This paper
is an investigation on how to initiate research in WSD for under-resourced
languages by applying Word Sense Induction (WSI) and suggests some interesting
topics to focus on.",,cs.CL,"['cs.CL', '68T50', 'I.2.7']",http://arxiv.org/abs/1310.1425v1
70,Racial Disparity in Natural Language Processing: A Case Study of Social Media African-American English,http://arxiv.org/pdf/1707.00061v1,"[arxiv.Result.Author('Su Lin Blodgett'), arxiv.Result.Author(""Brendan O'Connor"")]",,2017-06-30 22:57:50+00:00,"We highlight an important frontier in algorithmic fairness: disparity in the
quality of natural language processing algorithms when applied to language from
authors of different social groups. For example, current systems sometimes
analyze the language of females and minorities more poorly than they do of
whites and males. We conduct an empirical analysis of racial disparity in
language identification for tweets written in African-American English, and
discuss implications of disparity in NLP.",,cs.CY,"['cs.CY', 'cs.CL']",http://arxiv.org/abs/1707.00061v1
71,Automatic Code Generation using Pre-Trained Language Models,http://arxiv.org/pdf/2102.10535v1,"[arxiv.Result.Author('Luis Perez'), arxiv.Result.Author('Lizi Ottens'), arxiv.Result.Author('Sudharshan Viswanathan')]",,2021-02-21 07:21:26+00:00,"Recent advancements in natural language processing \cite{gpt2} \cite{BERT}
have led to near-human performance in multiple natural language tasks. In this
paper, we seek to understand whether similar techniques can be applied to a
highly structured environment with strict syntax rules. Specifically, we
propose an end-to-end machine learning model for code generation in the Python
language built on-top of pre-trained language models. We demonstrate that a
fine-tuned model can perform well in code generation tasks, achieving a BLEU
score of 0.22, an improvement of 46\% over a reasonable sequence-to-sequence
baseline. All results and related code used for training and data processing
are available on GitHub.",,cs.CL,"['cs.CL', 'cs.LG']",http://arxiv.org/abs/2102.10535v1
72,Are Style Guides Controlled Languages? The Case of Koenig & Bauer AG,http://arxiv.org/pdf/1406.3460v1,[arxiv.Result.Author('Karolina Suchowolec')],,2014-06-13 09:23:53+00:00,"Controlled natural languages for industrial application are often regarded as
a response to the challenges of translation and multilingual communication.
This paper presents a quite different approach taken by Koenig & Bauer AG,
where the main goal was the improvement of the authoring process for technical
documentation. Most importantly, this paper explores the notion of a controlled
language and demonstrates how style guides can emerge from non-linguistic
considerations. Moreover, it shows the transition from loose language
recommendations into precise and prescriptive rules and investigates whether
such rules can be regarded as a full-fledged controlled language.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1406.3460v1
73,Embedded Controlled Languages,http://arxiv.org/pdf/1406.4057v1,[arxiv.Result.Author('Aarne Ranta')],,2014-06-16 16:11:32+00:00,"Inspired by embedded programming languages, an embedded CNL (controlled
natural language) is a proper fragment of an entire natural language (its host
language), but it has a parser that recognizes the entire host language. This
makes it possible to process out-of-CNL input and give useful feedback to
users, instead of just reporting syntax errors. This extended abstract explains
the main concepts of embedded CNL implementation in GF (Grammatical Framework),
with examples from machine translation and some other ongoing work.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1406.4057v1
74,Syntax Representation in Word Embeddings and Neural Networks -- A Survey,http://arxiv.org/pdf/2010.01063v1,"[arxiv.Result.Author('Tomasz Limisiewicz'), arxiv.Result.Author('David Mareček')]",,2020-10-02 15:44:58+00:00,"Neural networks trained on natural language processing tasks capture syntax
even though it is not provided as a supervision signal. This indicates that
syntactic analysis is essential to the understating of language in artificial
intelligence systems. This overview paper covers approaches of evaluating the
amount of syntactic information included in the representations of words for
different neural network architectures. We mainly summarize re-search on
English monolingual data on language modeling tasks and multilingual data for
neural machine translation systems and multilingual language models. We
describe which pre-trained models and representations of language are best
suited for transfer to syntactic tasks.","Proceedings of the 20th Conference ITAT 2020: Automata, Formal and
  Natural Languages Workshop",cs.CL,['cs.CL'],http://arxiv.org/abs/2010.01063v1
75,Constraint Logic Programming for Natural Language Processing,http://arxiv.org/pdf/cmp-lg/9504005v1,"[arxiv.Result.Author('Philippe Blache'), arxiv.Result.Author('Nabil Hathout')]",,1995-04-05 14:16:33+00:00,"This paper proposes an evaluation of the adequacy of the constraint logic
programming paradigm for natural language processing. Theoretical aspects of
this question have been discussed in several works. We adopt here a pragmatic
point of view and our argumentation relies on concrete solutions. Using actual
contraints (in the CLP sense) is neither easy nor direct. However, CLP can
improve parsing techniques in several aspects such as concision, control,
efficiency or direct representation of linguistic formalism. This discussion is
illustrated by several examples and the presentation of an HPSG parser.",,cmp-lg,"['cmp-lg', 'cs.CL']",http://arxiv.org/abs/cmp-lg/9504005v1
76,Architecture of a Web-based Predictive Editor for Controlled Natural Language Processing,http://arxiv.org/pdf/1408.0016v1,"[arxiv.Result.Author('Stephen Guy'), arxiv.Result.Author('Rolf Schwitter')]",,2014-06-27 01:00:59+00:00,"In this paper, we describe the architecture of a web-based predictive text
editor being developed for the controlled natural language PENG$^{ASP)$. This
controlled language can be used to write non-monotonic specifications that have
the same expressive power as Answer Set Programs. In order to support the
writing process of these specifications, the predictive text editor
communicates asynchronously with the controlled natural language processor that
generates lookahead categories and additional auxiliary information for the
author of a specification text. The text editor can display multiple sets of
lookahead categories simultaneously for different possible sentence
completions, anaphoric expressions, and supports the addition of new content
words to the lexicon.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/1408.0016v1
77,"Natural Language Processing: State of The Art, Current Trends and Challenges",http://arxiv.org/pdf/1708.05148v1,"[arxiv.Result.Author('Diksha Khurana'), arxiv.Result.Author('Aditya Koli'), arxiv.Result.Author('Kiran Khatter'), arxiv.Result.Author('Sukhdev Singh')]",10.1007/s11042-022-13428-4,2017-08-17 06:42:03+00:00,"Natural language processing (NLP) has recently gained much attention for
representing and analysing human language computationally. It has spread its
applications in various fields such as machine translation, email spam
detection, information extraction, summarization, medical, and question
answering etc. The paper distinguishes four phases by discussing different
levels of NLP and components of Natural Language Generation (NLG) followed by
presenting the history and evolution of NLP, state of the art presenting the
various applications of NLP and current trends and challenges.",Multimed Tools Appl (2022),cs.CL,['cs.CL'],http://arxiv.org/abs/1708.05148v1
78,An OLAC Extension for Dravidian Languages,http://arxiv.org/pdf/0908.4431v1,[arxiv.Result.Author('B Prabhulla Chandran Pillai')],,2009-08-30 23:20:41+00:00,"OLAC was founded in 2000 for creating online databases of language resources.
This paper intends to review the bottom-up distributed character of the project
and proposes an extension of the architecture for Dravidian languages. An
ontological structure is considered for effective natural language processing
(NLP) and its advantages over statistical methods are reviewed",,cs.CL,['cs.CL'],http://arxiv.org/abs/0908.4431v1
79,Natural Language Semantics and Computability,http://arxiv.org/pdf/1605.04122v1,"[arxiv.Result.Author('Richard Moot'), arxiv.Result.Author('Christian Retoré')]",,2016-05-13 10:46:22+00:00,"This paper is a reflexion on the computability of natural language semantics.
It does not contain a new model or new results in the formal semantics of
natural language: it is rather a computational analysis of the logical models
and algorithms currently used in natural language semantics, defined as the
mapping of a statement to logical formulas - formulas, because a statement can
be ambiguous. We argue that as long as possible world semantics is left out,
one can compute the semantic representation(s) of a given statement, including
aspects of lexical meaning. We also discuss the algorithmic complexity of this
process.",,cs.CL,"['cs.CL', 'cs.AI', 'cs.CC']",http://arxiv.org/abs/1605.04122v1
80,"Logical Semantics, Dialogical Argumentation, and Textual Entailment",http://arxiv.org/pdf/2008.07138v1,"[arxiv.Result.Author('Davide Catta'), arxiv.Result.Author('Richard Moot'), arxiv.Result.Author('Christian Retoré')]",,2020-08-17 08:04:11+00:00,"In this chapter, we introduce a new dialogical system for first order
classical logic which is close to natural language argumentation, and we prove
its completeness with respect to usual classical validity. We combine our
dialogical system with the Grail syntactic and semantic parser developed by the
second author in order to address automated textual entailment, that is, we use
it for deciding whether or not a sentence is a consequence of a short text.
This work-which connects natural language semantics and argumentation with
dialogical logic-can be viewed as a step towards an inferentialist view of
natural language semantics.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2008.07138v1
81,A perspective on the advancement of natural language processing tasks via topological analysis of complex networks,http://arxiv.org/pdf/1412.1342v1,[arxiv.Result.Author('Diego R. Amancio')],10.1016/j.plrev.2014.07.010,2014-12-03 14:37:36+00:00,"Comment on ""Approaching human language with complex networks"" by Cong and Liu
(Physics of Life Reviews, Volume 11, Issue 4, December 2014, Pages 598-618).","Physics of Life Reviews, v. 11, p. 641-643, 2014",cs.CL,['cs.CL'],http://arxiv.org/abs/1412.1342v1
82,Automatic Language Identification for Romance Languages using Stop Words and Diacritics,http://arxiv.org/pdf/1806.05480v1,"[arxiv.Result.Author('Ciprian-Octavian Truică'), arxiv.Result.Author('Julien Velcin'), arxiv.Result.Author('Alexandru Boicea')]",10.1109/SYNASC.2015.45,2018-06-14 11:38:24+00:00,"Automatic language identification is a natural language processing problem
that tries to determine the natural language of a given content. In this paper
we present a statistical method for automatic language identification of
written text using dictionaries containing stop words and diacritics. We
propose different approaches that combine the two dictionaries to accurately
determine the language of textual corpora. This method was chosen because stop
words and diacritics are very specific to a language, although some languages
have some similar words and special characters they are not all common. The
languages taken into account were romance languages because they are very
similar and usually it is hard to distinguish between them from a computational
point of view. We have tested our method using a Twitter corpus and a news
article corpus. Both corpora consists of UTF-8 encoded text, so the diacritics
could be taken into account, in the case that the text has no diacritics only
the stop words are used to determine the language of the text. The experimental
results show that the proposed method has an accuracy of over 90% for small
texts and over 99.8% for",,cs.CL,"['cs.CL', 'cs.IR']",http://arxiv.org/abs/1806.05480v1
83,Language Segmentation,http://arxiv.org/pdf/1510.01717v1,[arxiv.Result.Author('David Alfter')],,2015-10-06 19:35:23+00:00,"Language segmentation consists in finding the boundaries where one language
ends and another language begins in a text written in more than one language.
This is important for all natural language processing tasks. The problem can be
solved by training language models on language data. However, in the case of
low- or no-resource languages, this is problematic. I therefore investigate
whether unsupervised methods perform better than supervised methods when it is
difficult or impossible to train supervised approaches. A special focus is
given to difficult texts, i.e. texts that are rather short (one sentence),
containing abbreviations, low-resource languages and non-standard language. I
compare three approaches: supervised n-gram language models, unsupervised
clustering and weakly supervised n-gram language model induction. I devised the
weakly supervised approach in order to deal with difficult text specifically.
In order to test the approach, I compiled a small corpus of different text
types, ranging from one-sentence texts to texts of about 300 words. The weakly
supervised language model induction approach works well on short and difficult
texts, outperforming the clustering algorithm and reaching scores in the
vicinity of the supervised approach. The results look promising, but there is
room for improvement and a more thorough investigation should be undertaken.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1510.01717v1
84,Machine Translation between Spoken Languages and Signed Languages Represented in SignWriting,http://arxiv.org/pdf/2210.05404v2,"[arxiv.Result.Author('Zifan Jiang'), arxiv.Result.Author('Amit Moryossef'), arxiv.Result.Author('Mathias Müller'), arxiv.Result.Author('Sarah Ebling')]",,2022-10-11 12:28:06+00:00,"This paper presents work on novel machine translation (MT) systems between
spoken and signed languages, where signed languages are represented in
SignWriting, a sign language writing system. Our work seeks to address the lack
of out-of-the-box support for signed languages in current MT systems and is
based on the SignBank dataset, which contains pairs of spoken language text and
SignWriting content. We introduce novel methods to parse, factorize, decode,
and evaluate SignWriting, leveraging ideas from neural factored MT. In a
bilingual setup--translating from American Sign Language to (American)
English--our method achieves over 30 BLEU, while in two multilingual
setups--translating in both directions between spoken languages and signed
languages--we achieve over 20 BLEU. We find that common MT techniques used to
improve spoken language translation similarly affect the performance of sign
language translation. These findings validate our use of an intermediate text
representation for signed languages to include them in natural language
processing research.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2210.05404v2
85,How Good are Commercial Large Language Models on African Languages?,http://arxiv.org/pdf/2305.06530v1,"[arxiv.Result.Author('Jessica Ojo'), arxiv.Result.Author('Kelechi Ogueji')]",,2023-05-11 02:29:53+00:00,"Recent advancements in Natural Language Processing (NLP) has led to the
proliferation of large pretrained language models. These models have been shown
to yield good performance, using in-context learning, even on unseen tasks and
languages. They have also been exposed as commercial APIs as a form of
language-model-as-a-service, with great adoption. However, their performance on
African languages is largely unknown. We present a preliminary analysis of
commercial large language models on two tasks (machine translation and text
classification) across eight African languages, spanning different language
families and geographical areas. Our results suggest that commercial language
models produce below-par performance on African languages. We also find that
they perform better on text classification than machine translation. In
general, our findings present a call-to-action to ensure African languages are
well represented in commercial large language models, given their growing
popularity.",,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2305.06530v1
86,Development of Word Embeddings for Uzbek Language,http://arxiv.org/pdf/2009.14384v1,"[arxiv.Result.Author('B. Mansurov'), arxiv.Result.Author('A. Mansurov')]",,2020-09-30 01:52:00+00:00,"In this paper, we share the process of developing word embeddings for the
Cyrillic variant of the Uzbek language. The result of our work is the first
publicly available set of word vectors trained on the word2vec, GloVe, and
fastText algorithms using a high-quality web crawl corpus developed in-house.
The developed word embeddings can be used in many natural language processing
downstream tasks.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2009.14384v1
87,Exploring Chemical Space using Natural Language Processing Methodologies for Drug Discovery,http://arxiv.org/pdf/2002.06053v1,"[arxiv.Result.Author('Hakime Öztürk'), arxiv.Result.Author('Arzucan Özgür'), arxiv.Result.Author('Philippe Schwaller'), arxiv.Result.Author('Teodoro Laino'), arxiv.Result.Author('Elif Ozkirimli')]",10.1016/j.drudis.2020.01.020,2020-02-10 21:02:05+00:00,"Text-based representations of chemicals and proteins can be thought of as
unstructured languages codified by humans to describe domain-specific
knowledge. Advances in natural language processing (NLP) methodologies in the
processing of spoken languages accelerated the application of NLP to elucidate
hidden knowledge in textual representations of these biochemical entities and
then use it to construct models to predict molecular properties or to design
novel molecules. This review outlines the impact made by these advances on drug
discovery and aims to further the dialogue between medicinal chemists and
computer scientists.",,q-bio.BM,"['q-bio.BM', 'cs.CL', 'cs.LG', 'stat.ML']",http://arxiv.org/abs/2002.06053v1
